Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-01-23 06:46:00+00:00,25207.400390625,25209.05078125,25192.80078125,25192.80078125,0
2026-01-23 06:47:00+00:00,25208.5,25208.69921875,25200.19921875,25207.650390625,0
2026-01-23 06:48:00+00:00,25204.94921875,25209.5,25202.25,25208.25,0
2026-01-23 06:49:00+00:00,25219.599609375,25220.349609375,25204.05078125,25204.349609375,0
2026-01-23 06:50:00+00:00,25216.55078125,25222.94921875,25216.400390625,25220.349609375,0
2026-01-23 06:51:00+00:00,25211.849609375,25218.599609375,25210.349609375,25217.05078125,0
2026-01-23 06:52:00+00:00,25205.5,25215.0,25204.099609375,25212.30078125,0
2026-01-23 06:53:00+00:00,25211.599609375,25211.80078125,25204.44921875,25204.849609375,0
2026-01-23 06:54:00+00:00,25203.650390625,25213.900390625,25203.400390625,25211.55078125,0
2026-01-23 06:55:00+00:00,25202.69921875,25204.650390625,25198.05078125,25204.55078125,0
2026-01-23 06:56:00+00:00,25198.69921875,25206.55078125,25198.400390625,25204.099609375,0
2026-01-23 06:57:00+00:00,25203.05078125,25203.599609375,25194.0,25198.80078125,0
2026-01-23 06:58:00+00:00,25215.19921875,25218.05078125,25200.849609375,25201.849609375,0
2026-01-23 06:59:00+00:00,25205.650390625,25215.55078125,25204.30078125,25215.19921875,0
2026-01-23 07:00:00+00:00,25205.19921875,25209.55078125,25202.05078125,25205.30078125,0
2026-01-23 07:01:00+00:00,25200.94921875,25210.400390625,25200.400390625,25205.150390625,0
2026-01-23 07:02:00+00:00,25209.400390625,25210.75,25199.44921875,25201.05078125,0
2026-01-23 07:03:00+00:00,25215.55078125,25220.5,25208.19921875,25209.0,0
2026-01-23 07:04:00+00:00,25211.150390625,25217.75,25210.55078125,25214.900390625,0
2026-01-23 07:05:00+00:00,25205.5,25212.900390625,25202.599609375,25210.0,0
2026-01-23 07:06:00+00:00,25211.599609375,25212.599609375,25203.400390625,25205.19921875,0
2026-01-23 07:07:00+00:00,25212.05078125,25216.0,25210.400390625,25211.150390625,0
2026-01-23 07:08:00+00:00,25214.849609375,25215.099609375,25210.5,25211.150390625,0
2026-01-23 07:09:00+00:00,25216.650390625,25217.80078125,25212.349609375,25214.599609375,0
2026-01-23 07:10:00+00:00,25211.69921875,25218.349609375,25211.150390625,25216.55078125,0
2026-01-23 07:11:00+00:00,25214.349609375,25214.349609375,25207.05078125,25211.69921875,0
2026-01-23 07:12:00+00:00,25223.55078125,25236.599609375,25213.25,25214.099609375,0
2026-01-23 07:13:00+00:00,25230.55078125,25232.5,25222.650390625,25223.94921875,0
2026-01-23 07:14:00+00:00,25223.05078125,25231.900390625,25221.30078125,25229.900390625,0
2026-01-23 07:15:00+00:00,25238.75,25239.349609375,25221.5,25223.30078125,0
2026-01-23 07:16:00+00:00,25235.849609375,25243.80078125,25231.05078125,25239.150390625,0
2026-01-23 07:17:00+00:00,25218.900390625,25236.44921875,25217.5,25235.80078125,0
2026-01-23 07:18:00+00:00,25211.44921875,25220.400390625,25211.0,25219.400390625,0
2026-01-23 07:19:00+00:00,25210.75,25215.650390625,25208.150390625,25211.75,0
2026-01-23 07:20:00+00:00,25208.05078125,25214.25,25206.099609375,25212.05078125,0
2026-01-23 07:21:00+00:00,25208.19921875,25209.099609375,25202.19921875,25208.25,0
2026-01-23 07:22:00+00:00,25208.25,25215.099609375,25208.05078125,25208.5,0
